Elapsed Hours (since 7:00),CE8_FED001_061621_concat_00.CSV,CE8_FED002_061621_00.CSV,CE8_FED003_061621_00.CSV,CE8_FED005_061621_00.CSV,CE8_FED006_061621_01.CSV,CE8_FED009_061621_00.CSV,CE8a_FED001_090321_concat_00.CSV,CE8a_FED002_090321_concat_00.CSV,CE8a_FED003_090321_01.CSV,CE8a_FED004_090321_00.CSV,CE8a_FED005_090321_concat_00.CSV,CE8a_FED006_090321_02.CSV,CE8_FED001_060921_00.CSV,CE8_FED002_060921_concat_00.CSV,CE8_FED003_060921_concat_00.CSV,CE8_FED005_060921_concat_00.CSV,CE8_FED006_060921_01.CSV,CE8_FED009_060921_00.CSV,CE8a_FED001_082621_01.CSV,CE8a_FED002_082621_03.CSV,CE8a_FED003_082621_05.CSV,CE8a_FED004_082621_01.CSV,CE8a_FED005_082621_01.CSV,CE8a_FED006_082621_01.CSV,Post,Post SEM,Pre,Pre SEM
80.0,0.0,1.0,20.0,24.0,18.0,17.0,108.0,31.0,7.0,25.0,157.0,81.0,5.0,42.0,37.0,37.0,64.0,39.0,106.0,99.0,24.0,47.0,62.0,16.0,40.75,14.08100213806252,48.166666666666664,8.801543712166163
81.0,0.0,9.0,36.0,0.0,24.0,31.0,293.0,31.0,11.0,11.0,152.0,77.0,6.0,24.0,13.0,14.0,25.0,4.0,74.0,116.0,9.0,42.0,22.0,29.0,56.25,24.77630986049033,31.5,9.460043564509851
82.0,0.0,41.0,89.0,31.0,25.0,24.0,244.0,96.0,24.0,19.0,143.0,72.0,24.0,103.0,122.0,60.0,65.0,133.0,123.0,171.0,29.0,20.0,88.0,13.0,67.33333333333333,19.97738620530623,79.25,15.010160700086601
83.0,0.0,40.0,93.0,18.0,41.0,62.0,24.0,6.0,2.0,24.0,193.0,161.0,13.0,62.0,63.0,50.0,126.0,84.0,105.0,135.0,33.0,52.0,50.0,14.0,55.333333333333336,18.198956569045933,65.58333333333333,11.526950195436816
84.0,0.0,109.0,139.0,55.0,50.0,66.0,198.0,25.0,13.0,24.0,66.0,151.0,31.0,121.0,83.0,72.0,104.0,136.0,241.0,86.0,69.0,40.0,118.0,25.0,74.66666666666667,17.819096554545126,93.83333333333333,16.903842728501086
85.0,0.0,103.0,141.0,45.0,124.0,145.0,42.0,64.0,36.0,178.0,133.0,218.0,195.0,112.0,138.0,102.0,128.0,75.0,53.0,88.0,42.0,114.0,39.0,33.0,102.41666666666667,18.88941435692157,93.25,13.926824454768553
86.0,0.0,146.0,131.0,79.0,75.0,41.0,116.0,107.0,67.0,330.0,77.0,211.0,166.0,95.0,84.0,49.0,123.0,105.0,125.0,32.0,36.0,281.0,56.0,52.0,115.0,24.934459543516734,100.33333333333333,20.251574324636167
87.0,0.0,153.0,0.0,176.0,24.0,34.0,127.0,111.0,51.0,318.0,35.0,184.0,45.0,125.0,56.0,97.0,141.0,95.0,132.0,82.0,89.0,254.0,61.0,61.0,101.08333333333333,27.628339187555707,103.16666666666667,16.378030986351778
88.0,0.0,4.0,31.0,70.0,37.0,74.0,36.0,136.0,43.0,62.0,101.0,153.0,78.0,127.0,74.0,65.0,133.0,49.0,155.0,93.0,107.0,283.0,101.0,73.0,62.25,13.848818459611373,111.5,17.95596465430545
89.0,0.0,62.0,114.0,40.0,0.0,23.0,173.0,41.0,56.0,112.0,124.0,154.0,27.0,64.0,87.0,48.0,46.0,58.0,168.0,149.0,113.0,275.0,37.0,70.0,74.91666666666667,16.967195770758124,95.16666666666667,20.70457178811706
90.0,0.0,112.0,112.0,50.0,18.0,24.0,162.0,161.0,16.0,91.0,32.0,63.0,37.0,108.0,54.0,58.0,95.0,16.0,27.0,116.0,74.0,386.0,84.0,86.0,70.08333333333333,16.33988350415305,95.08333333333333,27.962761583104328
91.0,0.0,83.0,45.0,40.0,13.0,25.0,79.0,124.0,6.0,10.0,43.0,148.0,22.0,65.0,34.0,65.0,52.0,104.0,228.0,10.0,68.0,256.0,41.0,66.0,51.333333333333336,13.814975039917204,84.25,22.481347487383513
92.0,0.0,18.0,19.0,73.0,0.0,21.0,137.0,106.0,22.0,18.0,78.0,85.0,39.0,97.0,30.0,22.0,62.0,25.0,134.0,0.0,57.0,300.0,108.0,57.0,48.083333333333336,13.152058447792172,77.58333333333333,23.13840384130315
93.0,0.0,13.0,40.0,33.0,0.0,19.0,207.0,62.0,27.0,50.0,12.0,76.0,28.0,65.0,20.0,24.0,88.0,69.0,49.0,0.0,56.0,211.0,75.0,45.0,44.916666666666664,16.2487567511978,60.833333333333336,15.518724434721047
94.0,0.0,40.0,41.0,48.0,9.0,0.0,45.0,109.0,17.0,50.0,71.0,106.0,28.0,91.0,35.0,31.0,0.0,64.0,202.0,0.0,57.0,107.0,38.0,72.0,44.666666666666664,10.551700518797142,60.416666666666664,15.972257356131758
