TimeStamp,Events,UV,Fluorescence,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,TimeStampAdjusted,ToneStart,PelletGrab,ToneStart_5000,ToneStart_10000,ToneStart_20000,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,Dispense_Bonsai,Retrieval_Bonsai,DistFromFED,Xpos_cm,Ypos_cm
2757910.921,,463.311,503.43,0,0,0,0,0,2757.910921,0,0,0,0,0,10.525176951964568,12.87906665851432,5.43889152980693,5.086285422157638,4.658673502335025,0.2911775650349326,64.39967854748572,44.91626901551524,0.3509408698120213,0,0,7.312581785265981,-10.820616419151179,-1.848691273532912
2757977.58,,456.125,501.28,0,0,0,0,0,2757.97758,0,0,0,0,0,8.376309758034381,5.694134096095809,2.404839974196028,5.971469783838353,4.869009172041083,0.3418522334124406,63.77094545266593,45.68168064101899,0.611746650768251,0,0,7.3367784088961905,-10.844016596251608,-1.8247379483413795
2758044.235,,461.11,503.491,0,0,0,0,0,2758.044235,0,0,0,0,0,10.588442477870784,10.680201443460476,4.510355267517066,6.078087210353719,4.894343383510733,0.3479558237669642,63.24785193843719,45.024451556915366,0.5165172849574533,0,0,7.350309628517298,-10.85972557740304,-1.8483939079724903
2758110.894,,458.249,500.739,0,0,0,0,0,2758.110894,0,0,0,0,0,7.837575247424525,7.820268828713097,3.30266362624774,4.534911621176785,4.5276572048176575,0.2596127456297418,63.22493392544216,44.9230013741708,0.1715596774274881,0,0,7.3505367296618065,-10.860202744248138,-1.8518774508202707
2758177.553,,461.625,503.866,0,0,0,0,0,2758.177553,0,0,0,0,0,10.965707998720802,11.197336187801398,4.728730800188716,6.236977198532086,4.932098492525118,0.3570518921206312,62.58712977780142,45.56119881612244,0.831048154695419,0,0,7.374362508434616,-10.883538855507359,-1.832235201074632
2758244.209,,457.684,496.411,0,0,0,0,0,2758.244209,0,0,0,0,0,3.511840680781632,7.2574034726911805,3.064976982121057,0.4468636986605738,3.5562637473685577,0.0255818682749607,63.449553629997965,44.193853894184045,0.8184670495542792,0,0,7.339652635908666,-10.850518932924166,-1.8757834092451713
2758310.865,,457.346,495.858,0,0,0,0,0,2758.3108650000004,0,0,0,0,0,2.959973344587752,6.92047073142038,2.922697106992374,0.0372762375953779,3.4589384254855826,0.0021339746388202,62.76699526156196,44.36471630129028,2.5741993586463146,0,0,7.362616144072011,-10.874004691658909,-1.87201156965595
2758377.525,,454.417,490.243,0,0,0,0,0,2758.377525,0,0,0,0,0,-2.6538939418912264,3.992538028032925,1.6862904050140215,-4.340184346905248,2.418775332336726,-0.2484650791379501,62.481061030271306,44.309169739716175,1.0788040483301642,0,0,7.371507018243208,-10.883473912458376,-1.8747131539228326
2758444.179,,454.283,484.609,0,0,0,0,0,2758.444179,0,0,0,0,0,-8.28676134857767,3.8596052024203686,1.63015556410387,-9.91691691268154,1.093643721598633,-0.5677195594861877,63.543281208858055,42.96218443754842,0.4493870450950961,0,0,7.3306532054063345,-10.843783766962138,-1.9169951674248584
2758510.838,,453.933,488.112,0,0,0,0,0,2758.510838,0,0,0,0,0,-4.782628688557168,3.510672430700936,1.4828083190682664,-6.265437007625434,1.961300793386371,-0.3586811475055256,63.88946695782395,43.114262145346366,1.1899592131574752,0,0,7.320203923531982,-10.832565652387755,-1.9108672558880655
2758577.5,,452.775,482.415,0,0,0,0,0,2758.5775,0,0,0,0,0,-10.47849599581616,2.35373968085014,0.994259041962672,-11.472755037778834,0.7239486974172251,-0.656787537244732,63.82144451093653,43.53291170779454,0.4510372037748063,0,0,7.324405356987772,-10.836073010674287,-1.8969642739079147
2758644.154,,457.568,484.247,0,0,0,0,0,2758.644154,0,0,0,0,0,-8.645363457259293,7.147806776762934,3.018696516315408,-11.664059973574702,0.6784912158680739,-0.6677392831183592,62.91943403644876,44.66733518524775,1.0961890491484931,0,0,7.359117935043954,-10.869749560913085,-1.8613761402060587
2758710.811,,455.466,494.2,0,0,0,0,0,2758.7108110000004,0,0,0,0,0,1.3087691140204925,5.046873894547275,2.131515095453907,-0.8227459814334144,3.254581731860714,-0.0471002217988844,63.64886354527249,45.71803455584796,1.3103703538183396,0,0,7.340904427663137,-10.848234074295373,-1.823868185078414
2758777.474,,456.903,500.219,0,0,0,0,0,2758.777474,0,0,0,0,0,7.328901768993205,6.484941082225646,2.738781753831544,4.590120015161662,4.540775708741696,0.2627732929438928,62.85884237472731,46.203236558473215,0.5387378394176436,0,0,7.368903018473958,-10.876252541476429,-1.809821228809104
2758844.13,,454.319,496.057,0,0,0,0,0,2758.84413,0,0,0,0,0,3.1680342867800846,3.902008131686273,1.6480614626469694,1.5199728241331152,3.811253709171977,0.0870147758366662,62.65182042431763,46.69389845256804,0.5085093397408025,0,0,7.378146153081495,-10.88465077887225,-1.7938966164987442
2758910.787,,454.516,499.95,0,0,0,0,0,2758.910787,0,0,0,0,0,7.062166803308003,4.100075170999787,1.7317011633016028,5.3304656400064,4.7166950985962535,0.3051562931954024,61.93088073713879,46.91500382208081,0.3006714062057166,0,0,7.402557499767644,-10.909575233629461,-1.7885440429311268
2758977.447,,459.473,499.336,0,0,0,0,0,2758.977447,0,0,0,0,0,6.449299352556579,9.058142232180272,3.825392502658338,2.6239068498982414,4.073568219766962,0.1502123345464452,62.18968265396907,45.49778689234955,1.0954011040702252,0,0,7.3868643302032675,-10.896741109420796,-1.8355256731178753
2759044.102,,455.412,493.989,0,0,0,0,0,2759.044102,0,0,0,0,0,1.1034317986074598,4.99820918716938,2.11096497478951,-1.0075331761820503,3.2106729824034144,-0.0576788427276562,62.68908474074069,45.08311276631979,2.0703420915257813,0,0,7.368640265865062,-10.878715932529119,-1.8480414905514024
