T,Time,CPSP_6cd,CPSP_6da,CPSP_57a,CPSP_6d9,CPSP_6e0,CPSP_6d3,CPSP_6d9,CPSP_57a,CPSP,CPSP_SEM,SHAM,SHAM_SEM,SHAM_68b,SHAM_6d2,SHAM_6d3
106,1/26/2023 1:00,53.50,53.20,18.90,26.80,11.10,4.62,7.84,41.30,27.16,7.05,18.60,2.95,19.50,23.20,13.10
107,1/26/2023 2:00,20.80,51.90,8.73,35.60,39.80,11.90,2.49,27.40,24.83,6.01,31.37,5.13,23.90,41.20,29.00
108,1/26/2023 3:00,37.30,32.40,10.50,26.70,22.90,34.80,36.20,6.46,25.91,4.19,10.80,4.46,5.09,7.71,19.60
109,1/26/2023 4:00,35.60,37.00,7.02,44.90,24.40,3.52,40.10,0.93,24.18,6.32,8.63,7.90,24.40,1.46,0.02
110,1/26/2023 5:00,30.20,27.60,26.40,23.20,28.40,14.20,0.06,3.74,19.23,4.17,29.13,6.73,33.60,37.90,15.90
111,1/26/2023 6:00,49.20,29.70,31.50,16.40,15.00,14.70,4.28,14.70,21.94,4.98,19.72,9.94,39.50,8.06,11.60
112,1/26/2023 7:00,21.80,7.20,9.91,16.90,3.99,37.00,15.40,14.70,15.86,3.63,30.73,4.42,23.90,39.00,29.30
113,1/26/2023 8:00,7.43,10.50,7.37,9.96,15.30,0.06,0.15,0.07,6.35,2.03,9.94,1.42,12.60,7.76,9.47
114,1/26/2023 9:00,16.20,2.91,0.47,27.90,19.90,1.14,1.90,1.63,9.01,3.79,3.75,0.29,3.97,4.12,3.17
115,1/26/2023 10:00,3.04,8.74,0.24,5.16,1.52,0.38,4.26,1.72,3.13,1.01,15.52,6.79,8.80,29.10,8.67
116,1/26/2023 11:00,13.10,3.15,5.08,7.02,13.50,0.30,25.50,0.35,8.50,3.02,1.54,0.51,1.51,0.66,2.44
117,1/26/2023 12:00,2.99,6.46,3.31,32.80,1.20,3.63,0.66,1.12,6.52,3.81,16.52,8.52,32.10,2.76,14.70
118,1/26/2023 13:00,0.56,0.02,1.09,3.60,20.30,0.67,1.98,6.73,4.37,2.40,0.51,0.32,0.12,0.27,1.14
119,1/26/2023 14:00,17.60,0.02,2.26,5.85,11.30,0.88,1.44,0.24,4.95,2.25,4.45,2.43,0.19,4.54,8.61
120,1/26/2023 15:00,0.06,11.70,4.31,18.40,2.80,0.90,1.75,0.25,5.02,2.33,4.49,3.61,11.70,0.74,1.03
121,1/26/2023 16:00,15.40,1.40,5.41,16.90,21.40,2.06,1.04,7.41,8.88,2.81,16.73,2.02,12.70,18.50,19.00
122,1/26/2023 17:00,6.79,2.02,7.43,20.40,9.31,17.00,12.00,17.70,11.58,2.24,8.39,4.13,16.30,2.37,6.49
