T,CPSP,CPSP_SEM,SHAM,SHAM_SEM,CPSP_6cd,CPSP_6da,CPSP_57a,CPSP_6d9,CPSP_6e0,CPSP_6d3,CPSP_6d9,CPSP_57a,SHAM_68b,SHAM_6d2,SHAM_6d3
153,32.2125,4.458596732,22.83333333,0.688799277,21.00,52.60,27.90,31.50,14.40,34.80,28.60,46.90,23.20,21.50,23.80
154,25.45,7.322231559,36.46666667,5.895007304,57.50,12.50,35.90,50.40,27.20,9.01,7.79,3.30,31.60,48.20,29.60
155,28.11875,6.91219534,20.20533333,13.13026638,42.70,2.99,25.20,48.40,56.20,27.00,6.16,16.30,15.30,45.00,0.32
156,12.587,4.400140956,27.43333333,4.24434264,6.97,6.90,27.50,13.60,6.85,2.53,35.50,0.85,33.00,30.20,19.10
157,25.09375,5.423826712,22.06666667,4.845043286,6.85,56.10,24.30,16.40,13.60,36.50,21.30,25.70,28.90,24.60,12.70
158,26.782375,8.030538138,26.42666667,11.80522671,57.50,52.20,26.70,34.70,37.20,0.56,3.92,1.48,31.00,44.20,4.08
159,27.86875,6.720625884,27.6,10.70716271,50.60,34.80,51.50,41.10,7.43,20.40,6.12,11.00,22.00,48.30,12.50
160,21.83,7.381286183,11.978,7.809046293,54.30,30.10,36.00,3.14,40.60,1.64,6.96,1.90,26.90,8.51,0.52
161,8.37575,3.273568312,9.553333333,6.691779368,13.40,0.83,4.67,4.03,3.80,3.85,29.40,7.03,2.02,3.74,22.90
162,11.426,5.309283944,7.103333333,2.489111845,1.78,5.63,9.44,32.00,8.28,16.21,8.21,19.21,2.20,10.30,8.81
163,14.254,5.134492769,3.509,1.605983914,22.60,29.90,9.77,5.60,3.40,9.31,21.22,11.35,5.62,4.55,0.36
164,13.5982,5.39221339,0.465333333,0.236052489,25.90,0.21,6.26,8.82,26.80,12.22,3.45,18.32,0.32,0.93,0.15
165,8.082425,5.832766388,6.592666667,3.721800699,0.15,0.02,6.57,48.50,4.57,0.23,2.92,1.70,13.00,0.11,6.67
166,13.304875,4.564115066,3.160433333,1.750814816,27.00,3.85,11.90,20.90,34.90,6.43,0.59,0.87,3.32,6.11,0.05
167,7.717875,4.923115544,2.830866667,1.387407685,4.35,2.90,2.13,3.38,1.39,4.91,42.00,0.68,0.06,4.05,4.38
168,10.7768,4.030967514,6.59,5.01282688,6.77,0.02,33.00,23.20,6.73,1.30,8.94,6.25,2.07,16.60,1.10
169,9.086625,3.333917992,2.554,1.229572826,13.10,0.15,16.40,20.50,20.50,0.21,1.19,0.65,4.55,0.31,2.80
170,13.16425,5.257970092,5.17,1.566216247,14.30,14.90,7.49,45.20,20.10,0.26,1.24,1.82,4.07,8.26,3.18
171,10.95555,2.162230119,14.39266667,9.528105816,10.90,0.02,16.10,21.30,10.80,8.77,8.95,10.80,32.70,0.66,9.82
172,26.323875,7.639406064,24.96666667,6.278092421,45.20,29.80,27.70,53.40,47.30,2.31,0.53,4.35,16.40,37.20,21.30
173,27.2785,6.364885093,19.26666667,0.788106028,38.10,49.80,34.30,45.50,28.70,10.10,0.93,10.80,20.20,17.70,19.90
174,31.21875,5.86865111,21.16666667,6.064468466,4.75,12.50,35.90,28.70,34.90,31.10,45.60,56.30,21.50,31.50,10.50
175,39.8125,3.345756241,19,5.063924697,55.40,47.50,34.80,37.40,37.30,25.20,34.40,46.50,28.90,12.20,15.90
176,33.77,7.160015962,24.33333333,4.807055,53.60,59.80,39.60,30.10,50.30,12.60,5.36,18.80,15.20,31.50,26.30
177,33.31875,5.367311257,35.53333333,4.042001704,42.30,54.80,44.40,32.10,23.30,22.50,40.00,7.15,42.60,35.40,28.60
178,23.6975,6.958772149,12.24333333,6.916950998,38.70,53.80,8.68,46.30,12.30,6.79,3.41,19.60,10.50,1.23,25.00
179,21.89625,6.706365297,18.56,10.95954379,1.32,43.50,14.50,55.40,28.90,12.80,7.65,11.10,2.48,39.50,13.70
180,28.91375,6.832393676,7.373333333,3.371890337,7.66,8.54,41.40,39.90,38.90,4.61,56.40,33.90,2.64,5.58,13.90
181,22.6175,7.642189699,15.40666667,6.373071822,53.70,1.43,29.60,41.10,42.80,8.43,2.79,1.09,3.82,25.80,16.60
182,22.6025,4.489345223,19.73333333,4.988096943,23.60,45.90,17.30,35.70,22.80,11.80,7.52,16.20,29.30,17.40,12.50
183,21.97555,7.519514865,28.62,12.58426531,8.16,49.70,42.70,35.30,37.70,0.02,1.14,1.08,38.30,43.90,3.66
184,26.48475,5.892979818,20.76333333,7.067060524,49.60,20.90,30.70,36.70,16.10,13.20,44.00,0.68,7.09,24.50,30.70
185,14.5068,5.308408972,8.606666667,3.062865398,43.90,1.10,9.50,23.10,3.23,0.02,23.90,11.30,8.63,13.90,3.29
186,7.80475,2.852137443,5.863666667,4.287955237,8.16,1.46,15.20,16.40,19.30,0.12,0.98,0.83,2.98,14.30,0.31
187,6.74875,1.769735087,0.981,0.720292302,3.68,14.10,7.77,3.14,1.40,11.00,1.40,11.50,2.42,0.20,0.32
188,6.047175,2.042981455,0.594,0.037072002,16.20,3.14,2.99,9.42,11.50,0.02,0.20,4.90,0.67,0.55,0.56
189,11.608875,3.279586458,2.51,1.141753038,13.50,9.90,15.80,28.80,1.99,0.61,17.00,5.27,2.13,0.75,4.65
190,4.25235,1.648762775,8.065333333,7.423221343,0.02,1.42,5.55,2.84,11.50,0.02,11.00,1.66,1.16,22.90,0.14
191,14.625,5.540236264,6.879666667,3.573822899,3.37,18.20,41.10,35.70,9.36,1.81,2.15,5.31,13.30,0.95,6.39
192,4.339375,1.0713828,5.2,3.809676277,2.89,5.77,10.70,4.38,5.00,2.94,0.70,2.34,0.93,1.87,12.80
193,9.401375,4.29948202,5.923333333,4.074654723,0.29,6.22,20.60,33.80,11.50,0.34,0.42,2.04,13.90,3.38,0.49
194,12.39,4.922462,6.523333333,4.034296028,4.26,14.90,9.37,42.60,20.40,1.08,1.88,4.63,14.40,1.07,4.10
195,8.67425,3.023141257,4.62,1.612740938,14.70,6.24,24.90,9.98,11.70,1.46,0.23,0.18,3.60,7.78,2.48
196,26.27125,6.761469472,19.35,6.127057478,32.40,37.90,41.30,38.70,48.40,5.36,2.03,4.08,27.50,23.20,7.35
