Time,55C_SHAM_F,56C_SHAM_F,59F_SHAM_F,536_SHAMF,A0D_SHAMF,A04_SHAMF,55C_SH_M,56C_SH_M,59F_SH_M,536_SH_M,A0D_SH_M,A04_SH_M,B65_SNI_F,B5F_SNI_F,A22_SNI_F,50E_SNIF,50D_SNIF,B65_SNI_F,56F_SNI_M,B6F_SNI_Male,B5F_SNI_Male,A22_SNI_Male,50E_SNI_Male,50D_SNI_Male,,,CTRL,SNI,CTRL_SEM,SNI_SEM,,,,,,,,,,
5/9/2024 4:00,18.3,31.9,13.2,25.6,13.7,19.9,1.13,11.7,36.3,5.01,0.286,7.7,2.25,6,8.48,9.45,18.3,3.61,4.75,19.2,0.483,20.6,10.3,1.56,,66,15.39383333,8.748583333,3.328580938,2.052464086,,,,,,,,,,
5/9/2024 5:00,0.65,2.03,1.36,0.918,0.878,0.118,3.96,1.87,15.5,0.369,18.5,20.2,34.7,6.14,7.65,4.06,9.7,11.5,12.3,0.647,25.7,1.84,2.08,10.1,,67,5.529416667,10.53475,2.220738699,2.93010086,,,,,,,,,,
5/9/2024 6:00,20.2,3.64,12.9,0.0244,27.6,14.7,9.08,7.9,20.7,0.222,0.0244,1.59,12.6,5.99,9.92,4.43,11.7,5.73,4.91,11.3,4.7,17.8,10.3,7.04,,68,9.881733333,8.868333333,2.710376708,1.183875143,,,,,,,,,,
5/9/2024 7:00,0.746,6.04,8.48,12.9,6,5.92,1.27,7.56,1.68,1.51,0.354,2.03,5.05,15.8,12.9,8.66,0.995,0.704,0.5,0.0244,2.47,0.999,0.337,0.765,,69,4.540833333,4.100366667,1.125093005,1.567486769,,,,,,,,,,
5/9/2024 8:00,4.08,16.1,1.38,1.6,20.5,0.54,3.09,0.0244,10.6,0.314,0.674,0.844,0.179,22.1,2.08,0.684,5.96,0.0447,0.539,1.95,6.66,8.53,1.27,0.133,,70,4.978866667,4.177475,1.997284035,1.830268312,,,,,,,,,,
5/9/2024 9:00,1.05,2.26,2.35,0.0244,0.0244,0.75,13.1,24.8,1.85,7.39,0.152,4.02,14.5,17.5,8.1,3.47,2.77,7.12,4.92,5.94,8.4,17.6,9.97,0.482,,71,4.814233333,8.397666667,2.123180654,1.618341273,,,,,,,,,,
5/9/2024 10:00,7.23,6.13,1.74,8.2,3.31,12.8,5.04,7.84,18.7,11.2,13.4,0.0244,12.4,1.61,7.86,0.0244,1.1,14.1,5.32,12.2,12.5,24.1,5.16,12.5,,72,7.967866667,9.072866667,1.543874761,1.9989152,,,,,,,,,,
5/9/2024 11:00,7.83,1.39,3.34,5.4,2.27,28.8,29.4,19.8,25.6,16.1,23.2,12.2,8.61,9.7,16.2,3.12,7.17,18.4,10.2,27.2,9.97,20.9,2.49,24.3,,73,14.61083333,13.18833333,3.058126397,2.3354332,,,,,,,,,,
5/9/2024 12:00,0.874,16.5,2.76,0.0244,0.0244,34,15.6,22.3,23,33,37,3.39,10.7,22.9,5.68,0.0244,4.76,19.6,1.11,39.5,22.8,22.8,3.34,24.5,,74,15.70606667,14.80953333,4.096939365,3.544822264,,,,,,,,,,
5/9/2024 13:00,14.2,1.16,1.98,1.69,2.04,8.87,36.1,5.98,35,20.4,20.6,1.87,2,0.076,3.95,0.726,0.346,18.4,0.932,33.5,29,15.6,3.66,19.6,,75,12.49083333,10.64916667,3.721698142,3.484807159,,,,,,,,,,
5/9/2024 14:00,1.64,0.168,13.2,8.73,6.88,2.98,25.2,3.76,18,10.8,12.8,0.664,1.66,2.44,8.66,2.96,3.87,1.29,0.0451,15.4,1.93,6.66,5.29,3.81,,76,8.735166667,4.501258333,2.215384192,1.211417324,,,,,,,,,,
5/9/2024 15:00,0.671,0.812,4.57,3.24,3.1,1.02,10.8,1.53,11,15.6,10.7,2.87,1.67,3.66,7.26,1.61,1.41,0.614,0.71,12.6,15.1,15.8,1.77,0.604,,77,5.49275,5.234,1.474959307,1.708987029,,,,,,,,,,
5/9/2024 16:00,2.77,2.22,1.22,0.0244,3.42,0.617,8.27,0.0289,3.54,5.11,10.5,0.809,1.08,0.156,4.98,0.151,1.45,0.885,13.7,9.51,2.51,1.33,0.488,1.57,,78,3.210775,3.150833333,0.955051908,1.226811578,,,,,,,,,,
