TimeStamp,Events,CH1-410,CH1-470,Unnamed: 4,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD
2321099.779,,289.409,301.774,,0,0,0,0,0
2321166.434,,289.865,301.497,,0,0,0,0,0
2321233.094,,291.43,302.05,,0,0,0,0,0
2321299.756,,290.918,304.567,,0,0,0,0,0
2321366.413,,291.766,305.315,,0,0,0,0,0
2321433.073,,291.736,302.44,,0,0,0,0,0
2321499.73,,291.688,304.764,,0,0,0,0,0
2321566.389,,292.44,306.09,,0,0,0,0,0
2321633.05,,293.466,307.289,,0,0,0,0,0
2321699.706,,294.159,310.767,,0,0,0,0,0
2321766.367,,294.142,316.491,,0,0,0,0,0
2321833.027,,292.592,317.62,,0,0,0,0,0
2321899.684,,290.634,312.596,,0,0,0,0,0
2321966.342,,289.986,312.231,,0,0,0,0,0
2322033.004,,289.886,311.311,,0,0,0,0,0
2322099.658,,291.616,314.996,,0,0,0,0,0
2322166.321,,292.401,316.701,,0,0,0,0,0
2322232.976,,293.025,316.403,,0,0,0,0,0
2322299.633,,291.496,314.767,,0,0,0,0,0
2322366.295,,291.866,319.28,,0,0,0,0,0
2322432.95,,292.012,320.811,,0,0,0,0,0
2322499.613,,293.301,319.44,,0,0,0,0,0
2322566.274,,293.332,318.847,,0,0,0,0,0
2322632.928,,294.595,316.721,,0,0,0,0,0
2322699.59,,293.637,313.694,,0,0,0,0,0
2322766.245,,292.621,313.017,,0,0,0,0,0
2322832.907,,292.093,311.366,,0,0,0,0,0
2322899.567,,291.604,307.826,,0,0,0,0,0
2322966.225,,288.832,307.804,,0,0,0,0,0
2323032.882,,287.996,306.726,,0,0,0,0,0
2323099.541,,288.541,304.293,,0,0,0,0,0
2323166.204,,288.062,305.166,,0,0,0,0,0
2323232.857,,287.186,307.389,,0,0,0,0,0
2323299.521,,287.288,311.42,,0,0,0,0,0
2323366.178,,287.639,319.162,,0,0,0,0,0
2323432.839,,287.0,321.664,,0,0,0,0,0
2323499.493,,287.503,331.911,,0,0,0,0,0
2323566.151,,287.729,336.501,,0,0,0,0,0
2323632.815,,288.136,341.609,,0,0,0,0,0
2323699.469,,291.112,338.397,,0,0,0,0,0
2323766.13,,289.895,332.958,,0,0,0,0,0
2323832.786,,288.709,328.902,,0,0,0,0,0
2323899.446,,287.49,323.665,,0,0,0,0,0
2323966.106,,287.54,318.359,,0,0,0,0,0
2324032.766,,287.419,315.481,,0,0,0,0,0
2324099.423,,286.839,314.672,,0,0,0,0,0
2324166.08,,288.193,315.804,,0,0,0,0,0
2324232.741,,289.867,316.932,,0,0,0,0,0
2324299.4,,290.706,315.248,,0,0,0,0,0
2324366.063,,290.3,314.707,,0,0,0,0,0
2324432.722,,289.593,311.57,,0,0,0,0,0
2324499.379,,287.185,308.833,,0,0,0,0,0
2324566.033,,288.019,305.249,,0,0,0,0,0
2324632.697,,288.078,305.447,,0,0,0,0,0
2324699.351,,289.315,310.921,,0,0,0,0,0
2324766.014,,288.929,311.916,,0,0,0,0,0
2324832.672,,290.081,311.162,,0,0,0,0,0
2324899.331,,289.535,309.893,,0,0,0,0,0
2324965.991,,291.499,308.296,,0,0,0,0,0
2325032.647,,291.718,308.778,,0,0,0,0,0
2325099.306,,291.976,312.455,,0,0,0,0,0
2325165.963,,293.731,313.927,,0,0,0,0,0
2325232.624,,294.774,318.054,,0,0,0,0,0
2325299.284,,295.931,322.21,,0,0,0,0,0
2325365.941,,297.184,322.09,,0,0,0,0,0
2325432.603,,295.266,321.936,,0,0,0,0,0
2325499.256,,293.838,321.681,,0,0,0,0,0
2325565.921,,295.071,320.236,,0,0,0,0,0
2325632.574,,294.15,318.168,,0,0,0,0,0
2325699.236,,292.927,313.103,,0,0,0,0,0
2325765.897,,293.227,311.535,,0,0,0,0,0
2325832.553,,293.675,311.247,,0,0,0,0,0
2325899.214,,293.034,310.631,,0,0,0,0,0
2325965.87,,292.233,314.41,,0,0,0,0,0
2326032.53,,292.513,316.472,,0,0,0,0,0
2326099.189,,291.809,320.152,,0,0,0,0,0
2326165.851,,291.421,316.815,,0,0,0,0,0
2326232.508,,291.508,314.674,,0,0,0,0,0
2326299.166,,291.287,310.775,,0,0,0,0,0
2326365.824,,292.139,310.77,,0,0,0,0,0
2326432.482,,292.015,311.131,,0,0,0,0,0
2326499.141,,292.781,313.606,,0,0,0,0,0
2326565.803,,294.237,312.247,,0,0,0,0,0
2326632.458,,293.297,311.591,,0,0,0,0,0
2326699.119,,292.005,313.449,,0,0,0,0,0
2326765.779,,291.749,310.722,,0,0,0,0,0
2326832.439,,290.804,310.421,,0,0,0,0,0
2326899.096,,291.016,311.809,,0,0,0,0,0
2326965.751,,290.543,313.355,,0,0,0,0,0
2327032.41,,292.832,314.666,,0,0,0,0,0
2327099.069,,290.551,309.857,,0,0,0,0,0
2327165.73,,288.961,307.199,,0,0,0,0,0
2327232.392,,289.324,305.259,,0,0,0,0,0
2327299.045,,289.605,302.566,,0,0,0,0,0
2327365.71,,289.415,305.06,,0,0,0,0,0
2327432.363,,290.632,311.893,,0,0,0,0,0
2327499.026,,292.138,313.041,,0,0,0,0,0
2327565.685,,292.26,307.852,,0,0,0,0,0
2327632.343,,288.464,305.837,,0,0,0,0,0
2327699.0,,288.555,307.678,,0,0,0,0,0
2327765.656,,291.998,309.472,,0,0,0,0,0
2327832.311,,292.83,304.746,,0,0,0,0,0
2327898.973,,291.413,303.905,,0,0,0,0,0
